Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
BUILDER,1, 52 L,Ulwe,745,Under Construction,"6,979 / sq ft"
BUILDER,2, 1.76 Cr,Kandivali West,720,Under Construction,"24,444 / sq ft"
BUILDER,2, 1.64 Cr,Malad West,702,Under Construction,"23,362 / sq ft"
BUILDER,1, 20.99 L,Khopoli,457,Ready to move,"4,593 / sq ft"
BUILDER,4, 1.25 Cr,Kalyan West,1400,Ready to move,"8,928 / sq ft"
BUILDER,2, 1.35 Cr,Malad West,896,Ready to move,"15,066 / sq ft"
BUILDER,2, 1.99 Cr,Dahisar,704,Ready to move,"28,267 / sq ft"
BUILDER,2, 1.45 Cr,Kurla,737,Under Construction,"19,674 / sq ft"
BUILDER,2, 1.5 Cr,Kurla,686,Ready to move,"21,865 / sq ft"
BUILDER,2, 24.75 L,Saphale,512,Ready to move,"4,833 / sq ft"
BUILDER,1, 36.5 L,Vasai,444,Under Construction,"8,221 / sq ft"
BUILDER,1, 22.05 L,Ambernath West,320,Under Construction,"6,890 / sq ft"
BUILDER,1, 1.08 Cr,Borivali West,450,Under Construction,"24,000 / sq ft"
BUILDER,2, 39.79 L,Panvel,577,Under Construction,"6,897 / sq ft"
BUILDER,2, 1.3 Cr,Borivali West,627,Under Construction,"20,733 / sq ft"
BUILDER,1, 42 L,Kalyan East,500,Under Construction,"8,400 / sq ft"
BUILDER,1, 15.78 L,Neral,214,Under Construction,"7,378 / sq ft"
BUILDER,1, 25.24 L,Dombivali,495,Ready to move,"5,100 / sq ft"
BUILDER,1, 19.3 L,Kewale,380,Under Construction,"5,080 / sq ft"
BUILDER,1, 21.25 L,Diva,268,Under Construction,"7,929 / sq ft"
BUILDER,1, 28 L,Dronagiri,369,Under Construction,"7,588 / sq ft"
BUILDER,2, 2.24 Cr,Vashi,1275,Under Construction,"17,568 / sq ft"
BUILDER,4, 5.45 Cr,Borivali East,1997,Under Construction,"27,290 / sq ft"
BUILDER,2, 2.39 Cr,Santacruz East,638,Under Construction,"37,460 / sq ft"
BUILDER,1, 38.91 L,Kalyan East,735,Ready to move,"5,293 / sq ft"
BUILDER,2, 1.9 Cr,Chembur,720,Under Construction,"26,388 / sq ft"
BUILDER,1, 98 L,Ghatkopar West,443,Under Construction,"22,122 / sq ft"
BUILDER,2, 40.99 L,Badlapur East,654,Under Construction,"6,269 / sq ft"
BUILDER,2, 53 L,Kalyan West,870,Under Construction,"6,091 / sq ft"
BUILDER,1, 98 L,Andheri West,340,Under Construction,"28,823 / sq ft"
BUILDER,2, 88 L,Thane West,622,Under Construction,"14,147 / sq ft"
BUILDER,1, 22.99 L,Badlapur West,322,Under Construction,"7,142 / sq ft"
BUILDER,2, 72.56 L,Panvel,418,Under Construction,"17,359 / sq ft"
BUILDER,1, 31.99 L,Panvel,310,Under Construction,"10,322 / sq ft"
BUILDER,1, 34 L,Kalyan West,450,Under Construction,"7,555 / sq ft"
BUILDER,2, 82 L,Kalamboli,635,Under Construction,"12,913 / sq ft"
BUILDER,2, 48.5 L,Taloja,1055,Under Construction,"4,597 / sq ft"
BUILDER,2, 97.99 L,Mira Road East,571,Under Construction,"17,162 / sq ft"
BUILDER,1, 32.29 L,Ambernath East,494,Under Construction,"6,536 / sq ft"
BUILDER,2, 85 L,Ulwe,1165,Under Construction,"7,296 / sq ft"
BUILDER,3, 3.58 Cr,Kandivali West,1462,Under Construction,"24,487 / sq ft"
BUILDER,2, 1.48 Cr,Malad West,669,Under Construction,"22,272 / sq ft"
BUILDER,1, 20.99 L,Khopoli,457,Ready to move,"4,593 / sq ft"
BUILDER,3, 82.5 L,Kalyan West,930,Ready to move,"8,870 / sq ft"
BUILDER,1, 1.35 Cr,Goregaon East,485,Under Construction,"28,007 / sq ft"
BUILDER,3, 2.25 Cr,Dahisar,722,Ready to move,"31,163 / sq ft"
BUILDER,1, 81.3 L,Kurla,387,Under Construction,"21,007 / sq ft"
BUILDER,2, 1.51 Cr,Kurla,691,Ready to move,"21,852 / sq ft"
BUILDER,2, 24.75 L,Saphale,512,Ready to move,"4,833 / sq ft"
BUILDER,1, 37 L,Vasai,468,Under Construction,"7,906 / sq ft"
BUILDER,2, 30.13 L,Ambernath West,433,Under Construction,"6,958 / sq ft"
BUILDER,2, 1.5 Cr,Borivali West,630,Under Construction,"23,968 / sq ft"
BUILDER,1, 28.49 L,Panvel,410,Under Construction,"6,951 / sq ft"
BUILDER,2, 1.4 Cr,Borivali West,668,Under Construction,"20,958 / sq ft"
BUILDER,1, 42 L,Kalyan East,483,Under Construction,"8,714 / sq ft"
BUILDER,1, 12.99 L,Neral,192,Under Construction,"6,765 / sq ft"
BUILDER,1, 18.36 L,Dombivali,360,Ready to move,"5,100 / sq ft"
BUILDER,1, 21.77 L,Kewale,430,Under Construction,"5,063 / sq ft"
BUILDER,1, 22.5 L,Diva,281,Under Construction,"8,007 / sq ft"
BUILDER,1, 35.5 L,Dronagiri,428,Under Construction,"8,294 / sq ft"
BUILDER,2, 2.24 Cr,Vashi,1275,Under Construction,"17,568 / sq ft"
BUILDER,3, 4.65 Cr,Borivali East,1704,Under Construction,"27,288 / sq ft"
BUILDER,3, 3.4 Cr,Santacruz East,891,Under Construction,"38,159 / sq ft"
BUILDER,1, 32.56 L,Kalyan East,615,Ready to move,"5,294 / sq ft"
BUILDER,2, 1.94 Cr,Chembur,726,Under Construction,"26,721 / sq ft"
BUILDER,1, 1.04 Cr,Ghatkopar West,470,Under Construction,"22,136 / sq ft"
BUILDER,2, 41 L,Badlapur East,661,Under Construction,"6,203 / sq ft"
BUILDER,1, 39.8 L,Kalyan West,641,Under Construction,"6,209 / sq ft"
BUILDER,1, 65 L,Thane West,429,Under Construction,"15,151 / sq ft"
BUILDER,1, 25.24 L,Badlapur West,351,Under Construction,"7,193 / sq ft"
BUILDER,2, 72.95 L,Panvel,426,Under Construction,"17,126 / sq ft"
BUILDER,1, 26.49 L,Panvel,277,Under Construction,"9,600 / sq ft"
BUILDER,1, 58 L,Kalamboli,454,Under Construction,"12,775 / sq ft"
BUILDER,2, 46.5 L,Taloja,1020,Under Construction,"4,558 / sq ft"
BUILDER,2, 84.5 L,Mira Road East,559,Under Construction,"15,118 / sq ft"
BUILDER,1, 32.29 L,Ambernath East,494,Under Construction,"6,536 / sq ft"
BUILDER,2, 85 L,Ulwe,1165,Under Construction,"7,296 / sq ft"
BUILDER,2, 2.05 Cr,Kandivali West,836,Under Construction,"24,583 / sq ft"
BUILDER,1, 1.13 Cr,Kandivali West,444,Under Construction,"25,450 / sq ft"
BUILDER,1, 18.99 L,Khopoli,407,Ready to move,"4,666 / sq ft"
BUILDER,2, 58.5 L,Kalyan West,635,Ready to move,"9,212 / sq ft"
BUILDER,2, 1.86 Cr,Goregaon East,666,Under Construction,"28,012 / sq ft"
BUILDER,3, 3.28 Cr,Dahisar,1177,Ready to move,"27,867 / sq ft"
BUILDER,1, 95.4 L,Kurla,456,Under Construction,"20,921 / sq ft"
BUILDER,2, 1.68 Cr,Kurla,723,Ready to move,"23,236 / sq ft"
BUILDER,1, 18 L,Saphale,383,Ready to move,"4,699 / sq ft"
BUILDER,1, 21 L,Panvel,300,Under Construction,"7,000 / sq ft"
BUILDER,2, 25.98 L,Neral,402,Under Construction,"6,481 / sq ft"
BUILDER,1, 34.42 L,Dombivali,675,Ready to move,"5,100 / sq ft"
BUILDER,1, 33.96 L,Kewale,675,Under Construction,"5,032 / sq ft"
BUILDER,1, 27.3 L,Diva,330,Under Construction,"8,272 / sq ft"
BUILDER,1, 38.5 L,Dronagiri,444,Under Construction,"8,671 / sq ft"
BUILDER,2, 1.8 Cr,Vashi,1090,Under Construction,"16,513 / sq ft"
BUILDER,2, 2.3 Cr,Borivali East,935,Under Construction,"24,598 / sq ft"
BUILDER,2, 2.3 Cr,Santacruz East,613,Under Construction,"37,520 / sq ft"
BUILDER,2, 48.12 L,Kalyan East,909,Ready to move,"5,293 / sq ft"
BUILDER,2, 1.87 Cr,Chembur,706,Under Construction,"26,487 / sq ft"
BUILDER,2, 1.33 Cr,Ghatkopar West,615,Under Construction,"21,811 / sq ft"
